ISO code,Country,Variable code,Variable name,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
BLR,Belarus,cgdpo,Output-side real GDP at current PPPs (in mil. 2017US$),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,136763.4219,132458.4844,120836.4531,127193.625,83734.01563,80275.46094,82940.03906,88797.92969,87693.80469,86954.64844,94981.73438,92638.01563,94347.86719,99476.78125,107025.6484,112591.9375,126670.4844,139577.7969,161562.7188,158884.1719,174417.1563,196152.4375,186956.3906,183506.3906,186121.7969,184774.625,175430.5625,191909.875,200776.3594,205916.1875
BLZ,Belize,cgdpo,Output-side real GDP at current PPPs (in mil. 2017US$),,,,,,,,,,,,,,,,,,,,,500.6888123,539.3283081,487.933075,544.7830811,591.1278076,582.9382935,545.5250854,590.9066162,613.0464478,643.1956177,711.4119263,667.0698853,697.0177002,701.8799438,719.104187,767.5905151,893.8369141,987.680542,1065.027222,1180.285645,1288.616577,1286.918091,1226.988159,1317.72876,1443.846191,1559.879517,1357.14978,1322.073364,1356.185913,1412.761353,1595.542236,1556.346069,1745.932007,1935.728516,2022.712158,2057.545166,2234.585693,2300.585205,2167.572021,2141.764893,2364.4729,2517.316162,2495.710938,2336.45166,2400.959473,2349.556641,2332.027588,2329.446289,2238.642334,2218.947021
BMU,Bermuda,cgdpo,Output-side real GDP at current PPPs (in mil. 2017US$),,,,,,,,,,,,,,,,,,,,,591.3508911,1171.564697,939.7300415,908.2895508,724.3756714,784.7804565,990.0626831,916.1107178,933.8120728,916.9954834,699.8024902,702.9821167,715.1503906,775.0030518,840.4020386,726.541687,1169.249023,1861.673462,1270.140625,705.432312,1228.107178,1395.416138,1070.067139,1092.583008,493.9078979,1206.139648,1006.591492,1626.068726,136.0254059,,,,2848.635254,,352.910553,2736.469238,2945.725098,3038.192383,3874.460449,4015.824707,4351.337891,4463.912109,3541.818359,3202.060059,3201.776855,3078.530273,3068.916504,3178.475098,3144.65918,3188.01001
BOL,Bolivia (Plurinational State of),cgdpo,Output-side real GDP at current PPPs (in mil. 2017US$),6707.473145,7382.917969,7341.844727,6044.528809,6272.417969,6663.809082,6262.168457,6120.524902,5868.075195,6224.898438,6355.062988,6546.188965,6721.623047,7235.577637,7652.899902,8066.375977,8781.902344,9463.265625,8409.673828,8637.511719,8463.645508,9019.53418,9170.65332,10048.37598,11104.08984,11676.33008,12168,12644.2666,12655.99707,13088.77539,13134.93848,13512.0127,13273.00391,13177.52441,13689.89746,14556.24902,14606.68652,15270.97266,13735.02441,14478.48242,15430.86719,16465.59375,17325.17188,18410.01758,20023.01367,22416.25,24927.84961,25424.37695,26133.79688,26298.35156,26625.25195,27842.06836,29351.17773,30859.58984,32890.51953,35446.39844,37482.88672,39813.94922,44905.29297,47127.43359,52044.72656,58866.59375,65050.39844,72011.10938,75865.21094,79589.76563,83540.75781,91522.48438,96407.10156,98644.46875
BRA,Brazil,cgdpo,Output-side real GDP at current PPPs (in mil. 2017US$),85323.54688,87631.28906,97869.17969,101674.3438,110126.4297,118162.9688,122161.9375,132737.9375,141161.5469,147250.3594,160814.6406,183701.1563,198406.9219,211859.7031,220949.1563,235124.6875,247165.1875,269569.125,298504.3438,303391.5625,345910.9375,387936.9063,434291.8125,490722.9375,532544.875,557324.1875,603285.1875,617498.8125,641876.8125,684853.5,687080.0625,711346.1875,730612.6875,716090.375,740773,781452.5625,889044.8125,915525,923198.8125,943239.5,923620.5,1007007.688,1038976.875,1118015.5,1256092.625,1459246.5,1735859,1696771.25,1632463.5,1585556.625,1614590.25,1612885.375,1630036.25,1624931.25,1711796.375,1790385.875,1952655.375,2170465.25,2421307.75,2519892,2920199,3266644,3251117.75,3272021.25,3264409.75,3068602.5,2918882,2968825.5,3043949.75,3079724.5
BRB,Barbados,cgdpo,Output-side real GDP at current PPPs (in mil. 2017US$),,,,,,,,,,,1877.898438,1973.785034,2110.071289,2083.994141,2080.61084,2191.829834,2334.279541,2622.999023,2749.45752,3169.517822,3487.457764,3611.226318,3686.895264,3498.04248,2880.437256,3432.30835,2727.329834,2770.12207,2663.844238,2737.681641,2564.728027,2537.799561,2645.679932,2782.859131,2878.293945,2582.955322,3140.594727,3472.925537,3648.791992,3965.812012,3782.740723,4119.071777,3017.172607,3204.094971,5358.689453,5916.378906,6352.425781,5913.987305,6230.152344,6195.224121,5975.298828,5808.111816,5796.319336,5453.461914,5699.411621,5663.024902,5433.898926,5869.886719,5339.526367,4867.849121,4617.711426,4156.710449,3824.789307,3595.659424,3601.359863,3577.625732,3615.731445,3378.026611,3467.414551,3577.581055
BRN,Brunei Darussalam,cgdpo,Output-side real GDP at current PPPs (in mil. 2017US$),,,,,,,,,,,,,,,,,,,,,6327.253906,7202.828613,8015.489746,9289.478516,11734.63672,12111.67676,13306.04395,13171.28125,14468.40918,19474.61133,20006.24805,18998.79492,17907.56445,17528.61328,17100.60938,16928.13086,11981.625,13114.75,11856.05762,13206.59277,14807.65918,12908.33984,17817.28906,16242.8457,14851.01953,13838.0332,17598.3125,15303.20313,13687.28027,16073.52246,19275.13672,18230.46875,19342.92969,21922.45313,24706.55078,29408.97852,33668.38281,33080.91406,35222.80859,27653.43359,29383.08398,37782.8125,39496.58984,37116.23047,34049.03516,28222.18945,25732.22852,27329.07813,29993.80664,31061.18164
BTN,Bhutan,cgdpo,Output-side real GDP at current PPPs (in mil. 2017US$),,,,,,,,,,,,,,,,,,,,,569.1039429,586.4344482,595.8382568,601.2625732,623.6587524,608.6356812,663.4594727,709.4737549,765.3325195,803.4772339,800.3820801,948.3630371,1000.940796,1130.004028,1147.664673,1207.355713,1302.171021,1353.178223,1428.890991,1466.125854,1504.004028,1552.480347,1720.858521,1614.798828,1611.214355,1622.276978,1722.337036,1973.042847,2062.235596,2391.908447,2487.395996,2662.741211,3098.681396,3425.540283,4028.599121,4043.19751,4063.364014,4335.24707,4805.640137,5243.381836,6076.527344,6293.44873,6646.342773,6065.291992,6280.193359,7075.925781,7731.168945,8342.890625,8637.455078,8979.651367
BWA,Botswana,cgdpo,Output-side real GDP at current PPPs (in mil. 2017US$),,,,,,,,,,,267.9861755,294.4950256,328.6005249,345.2979736,368.4106445,356.1485596,392.6666565,462.5207825,517.7741089,499.7631226,576.4332886,742.5507813,941.473877,1141.718506,1194.658569,1346.660034,1524.004517,1723.745239,1927.781372,2152.600586,2330.931641,2644.535645,2860.141846,3396.59375,4275.299805,5002.487305,5379.000488,5864.07959,6518.42334,8315.359375,8905.010742,9615.328125,10183.94238,10454.08789,10815.34668,11715.97754,13237.33691,14315.4707,15006.43652,16602.56836,17975.4707,17985.33594,21331.57617,20929.04883,21941.61914,24929.51563,26021.39648,26927.17773,27082.69727,25388.75,28091.12891,30998.48438,29245.14648,29674.91797,32722.0332,31862.47461,33644.01172,35740.50391,36430.30859,38095.60938
CAF,Central African Republic,cgdpo,Output-side real GDP at current PPPs (in mil. 2017US$),,,,,,,,,,,2040.328491,2213.847656,2214.986572,2089.88501,2186.830078,2218.953613,2230.480225,2223.850586,2538.010498,2550.443604,2673.153564,2577.738037,2476.342773,2759.593506,2506.219727,2478.001221,2458.890137,2586.952393,2642.445313,2590.249756,2400.727051,2811.522949,2843.731445,2690.382568,2884.963623,3227.955566,3184.520996,2958.720459,3119.503906,3311.072754,3266.676025,3207.607666,3105.979248,3035.942627,3700.174316,3820.657471,3248.129395,3402.731201,3569.582031,3539.959229,3657.735596,3722.420898,3734.043945,3568.39209,3677.698486,3795.405762,3983.803955,4218.058594,4343.052246,4673.668945,4892.483398,4992.816406,5477.182129,3620.292725,3486.321533,3893.538574,4115.968262,4265.272461,4444.056641,4653.580566
